	s1.1	s1.2	s1.3	s1.4	s1.5	s1.6	s1.7	s1.8	s2.1	s2.2	s2.3	s2.4	s2.5	s2.6	s2.7	s2.8	s3.1	s3.2	s3.3	s3.4	s3.5	s3.6	s3.7	s3.8	s4.1	s4.2	s4.3	s4.4	s4.5	s4.6	s4.7	s4.8	s5.1	s5.2	s5.3	s5.4	s5.5	s5.6	s5.7	s5.8
s4.5	0.216532073	0.248937514	0.167020801	0.178283024	0.166702058	0.253081149	0.159052254	0.16181469	0.175520597	0.221631951	0.163727137	0.178708015	0.202932412	0.190182733	0.284211632	0.244050136	0.224819372	0.124309374	0.237781537	0.110497222	0.167127059	0.128665514	0.358797261	0.143221419	0.24702506	0.287186561	0.114959603	0.28314917	0	0.130684212	0.14874626	0.255312356	0.197938785	0.216957052	0.16000848	0.10954099	0.129090498	0.257756041	0.203676142	0.125478092
s4.6	0.218019537	0.25031873	0.2255631	0.217594547	0.222375674	0.261368452	0.223225653	0.222163184	0.227581796	0.252231181	0.205057358	0.236612818	0.258606022	0.247025064	0.292711422	0.250849967	0.222163186	0.151402443	0.2192945	0.159795987	0.154589866	0.183807891	0.337866532	0.127815549	0.199744982	0.269337005	0.16691455	0.279430509	0.130684212	0	0.200913707	0.234487873	0.169995734	0.216744552	0.216532064	0.169995731	0.184339122	0.270399478	0.213025904	0.183807885
s4.7	0.252762416	0.265512094	0.179557991	0.205482346	0.198151274	0.296855064	0.192307678	0.175414347	0.20951974	0.241393952	0.127071799	0.150552466	0.129196751	0.213025913	0.321610698	0.269761989	0.276774315	0.181576689	0.311304705	0.156183583	0.228963013	0.115065853	0.442095185	0.200169985	0.331810444	0.344772624	0.108478517	0.338397793	0.14874626	0.200913707	0	0.308542273	0.28782405	0.281874188	0.12090945	0.116128328	0.115703331	0.326391833	0.294305129	0.151296197
s4.8	0.311942192	0.37749681	0.355609853	0.343603903	0.345835097	0.323948139	0.347216309	0.350297486	0.354122394	0.38769655	0.351359965	0.368465784	0.390990223	0.377390569	0.34392264	0.376328086	0.268593276	0.267849538	0.229281745	0.283255412	0.2515937	0.312579675	0.322566916	0.259987246	0.229069253	0.195282598	0.263599642	0.195495111	0.255312356	0.234487873	0.308542273	0	0.211644696	0.192307669	0.293030162	0.262962163	0.288249033	0.269230755	0.223013157	0.315873339
s5.1	0.257118568	0.329473011	0.300573725	0.28803654	0.282936664	0.25318741	0.287611552	0.296111346	0.29249893	0.333191667	0.288780277	0.314385889	0.344347635	0.329154264	0.27730556	0.320441981	0.2098385	0.209413508	0.194963854	0.237887802	0.199107508	0.26306841	0.295473847	0.210157237	0.179345498	0.24946875	0.24851252	0.238100286	0.197938785	0.169995734	0.28782405	0.211644696	0	0.145133847	0.291223952	0.233850395	0.251699943	0.197620044	0.134402872	0.257118557
s5.2	0.262643413	0.338504029	0.307586039	0.294517623	0.292605169	0.269761986	0.297173801	0.303867388	0.308754773	0.340628967	0.308542275	0.324585624	0.354653622	0.338185286	0.294198879	0.332979164	0.213132155	0.218869506	0.194963845	0.244475125	0.218444509	0.274649368	0.297811273	0.229600494	0.210688459	0.228113021	0.248618757	0.207819791	0.216957052	0.216744552	0.281874188	0.192307669	0.145133847	0	0.272949408	0.232575414	0.248937505	0.189651486	0.149914976	0.267637034
s5.3	0.258606023	0.264343372	0.174245623	0.201338694	0.195920077	0.290480211	0.185189098	0.175626846	0.19847002	0.241925183	0.144602611	0.163939634	0.178601763	0.209201004	0.311942187	0.265937081	0.287505299	0.190076487	0.318317028	0.174883106	0.246281324	0.136846556	0.449532497	0.216319586	0.33977899	0.334466633	0.12271566	0.331704201	0.16000848	0.216532064	0.12090945	0.293030162	0.291223952	0.272949408	0	0.110390968	0.103484884	0.322035689	0.294198881	0.14991498
s5.4	0.234275381	0.257224805	0.163302145	0.183276651	0.182001679	0.268912013	0.172970661	0.160539722	0.191457698	0.232256685	0.152571176	0.168827014	0.190288976	0.20038248	0.300679973	0.254037385	0.24596259	0.151721196	0.276561817	0.135996581	0.204313631	0.121440697	0.4055461	0.177433056	0.287505297	0.29770505	0.087441538	0.283999153	0.10954099	0.169995731	0.116128328	0.262962163	0.233850395	0.232575414	0.110390968	0	0.084679105	0.27634933	0.239587749	0.122503165
s5.5	0.239587741	0.261049707	0.163514632	0.186889058	0.180939197	0.275180601	0.173183153	0.163195899	0.192626412	0.232044183	0.138652758	0.158308518	0.176901804	0.203038655	0.305142355	0.257331051	0.256268579	0.163195904	0.296536313	0.153846132	0.219613242	0.119103249	0.420420726	0.19613259	0.308648522	0.325541853	0.096260072	0.31661708	0.129090498	0.184339122	0.115703331	0.288249033	0.251699943	0.248937505	0.103484884	0.084679105	0	0.289205259	0.261899688	0.12962174
s5.6	0.266255828	0.336910323	0.301954938	0.290798969	0.290480226	0.24638757	0.288036532	0.299617502	0.294092637	0.337866544	0.31215469	0.326285585	0.351147464	0.334572881	0.270930717	0.320654473	0.236400326	0.245643843	0.222163174	0.265405854	0.240331468	0.28421163	0.327773031	0.26062472	0.241181451	0.286761559	0.30365489	0.26200594	0.257756041	0.270399478	0.326391833	0.269230755	0.197620044	0.189651486	0.322035689	0.27634933	0.289205259	0	0.175095599	0.270930706
s5.7	0.235125356	0.310560974	0.280174223	0.266787065	0.264130881	0.231725432	0.264449626	0.274224374	0.267530801	0.31141095	0.277836791	0.297386303	0.325329355	0.303123664	0.251487444	0.295580099	0.189226504	0.194007637	0.169676976	0.215894587	0.182001678	0.248512525	0.268912	0.187951542	0.177858036	0.226306823	0.255312349	0.222694417	0.203676142	0.213025904	0.294305129	0.223013157	0.134402872	0.149914976	0.294198881	0.239587749	0.261899688	0.175095599	0	0.225881833
s5.8	0.199957488	0.223331897	0.146408815	0.158839758	0.166277068	0.243731383	0.144708862	0.128878014	0.1591585	0.196770068	0.12335315	0.1432214	0.169570743	0.163408403	0.271143203	0.222481923	0.216744558	0.138865253	0.252868656	0.120378222	0.184657867	0.110922209	0.380471713	0.158839774	0.261368449	0.298873774	0.137165301	0.324904372	0.125478092	0.183807885	0.151296197	0.315873339	0.257118557	0.267637034	0.14991498	0.122503165	0.12962174	0.270930706	0.225881833	0
